Date,Hour,Temperature
1/1/22,0,25.1
1/1/22,1,24
1/1/22,2,23
1/1/22,3,22.6
1/1/22,4,22
1/1/22,5,21.4
1/1/22,6,20.6
1/1/22,7,20.3
1/1/22,8,20
1/1/22,9,19.5
1/1/22,10,21.2
1/1/22,11,23.2
1/1/22,12,25
1/1/22,13,27.8
1/1/22,14,29.6
1/1/22,15,31.2
1/1/22,16,32.3
1/1/22,17,33.8
1/1/22,18,33
1/1/22,19,32.2
1/1/22,20,30.7
1/1/22,21,31
1/1/22,22,29.4
1/1/22,23,27.5
2/1/22,0,26.5
2/1/22,1,26
2/1/22,2,24.9
2/1/22,3,24.5
2/1/22,4,23.8
2/1/22,5,23.7
2/1/22,6,23.1
2/1/22,7,22.7
2/1/22,8,22.4
2/1/22,9,22.2
2/1/22,10,23.3
2/1/22,11,24.8
2/1/22,12,26.5
2/1/22,13,28.6
2/1/22,14,32.1
2/1/22,15,33.7
2/1/22,16,34
2/1/22,17,35.8
2/1/22,18,28.3
2/1/22,19,27.2
2/1/22,20,22.9
2/1/22,21,22.3
2/1/22,22,21.1
2/1/22,23,21.1
3/1/22,0,22.1
3/1/22,1,22.7
3/1/22,2,22.7
3/1/22,3,22.2
3/1/22,4,21.7
3/1/22,5,20.6
3/1/22,6,19.7
3/1/22,7,20.7
3/1/22,8,20.8
3/1/22,9,21.3
3/1/22,10,21.8
3/1/22,11,22.8
3/1/22,12,24.4
3/1/22,13,26.4
3/1/22,14,29.7
3/1/22,15,31
3/1/22,16,31.1
3/1/22,17,29.7
3/1/22,18,29.8
3/1/22,19,30.6
3/1/22,20,29.8
3/1/22,21,28.9
3/1/22,22,24.3
3/1/22,23,20.2
4/1/22,0,21.2
4/1/22,1,20.8
4/1/22,2,21.2
4/1/22,3,22.6
4/1/22,4,22.1
4/1/22,5,22
4/1/22,6,21
4/1/22,7,20.8
4/1/22,8,20.8
4/1/22,9,19.8
4/1/22,10,19.9
4/1/22,11,21.2
4/1/22,12,22.3
4/1/22,13,22.9
4/1/22,14,23.4
4/1/22,15,23.8
4/1/22,16,24.7
4/1/22,17,24.5
4/1/22,18,26
4/1/22,19,27.6
4/1/22,20,27.4
4/1/22,21,26.1
4/1/22,22,24.5
4/1/22,23,22.5
5/1/22,0,22.1
5/1/22,1,22.1
5/1/22,2,21.7
5/1/22,3,22.1
5/1/22,4,21.9
5/1/22,5,21.3
5/1/22,6,21.1
5/1/22,7,20.1
5/1/22,8,20.1
5/1/22,9,20.2
5/1/22,10,20.7
5/1/22,11,21.4
5/1/22,12,22.6
5/1/22,13,23
5/1/22,14,24.1
5/1/22,15,25
5/1/22,16,22.1
5/1/22,17,19.5
5/1/22,18,19.6
5/1/22,19,19.6
5/1/22,20,19.4
5/1/22,21,19
5/1/22,22,18.6
5/1/22,23,18.4
6/1/22,0,17.9
6/1/22,1,17.7
6/1/22,2,17.3
6/1/22,3,16.9
6/1/22,4,15.6
6/1/22,5,16
6/1/22,6,16
6/1/22,7,15.9
6/1/22,8,15.9
6/1/22,9,15.7
6/1/22,10,16.2
6/1/22,11,17.5
6/1/22,12,18.7
6/1/22,13,19.8
6/1/22,14,19.4
6/1/22,15,21
6/1/22,16,20.5
6/1/22,17,23.3
6/1/22,18,22
6/1/22,19,22.6
6/1/22,20,22.3
6/1/22,21,21.4
6/1/22,22,19.7
6/1/22,23,18.3
7/1/22,0,17.4
7/1/22,1,16.6
7/1/22,2,16
7/1/22,3,15.3
7/1/22,4,15.2
7/1/22,5,14.7
7/1/22,6,14.8
7/1/22,7,14.7
7/1/22,8,14.4
7/1/22,9,14.3
7/1/22,10,15.9
7/1/22,11,17.5
7/1/22,12,19.5
7/1/22,13,21.6
7/1/22,14,21.8
7/1/22,15,22.2
7/1/22,16,25.1
7/1/22,17,24.6
7/1/22,18,25.6
7/1/22,19,25.2
7/1/22,20,24.6
7/1/22,21,23.3
7/1/22,22,20.9
7/1/22,23,19.3
8/1/22,0,18.7
8/1/22,1,17.5
8/1/22,2,16.8
8/1/22,3,16.4
8/1/22,4,16.4
8/1/22,5,16.1
8/1/22,6,15.8
8/1/22,7,15.5
8/1/22,8,15.5
8/1/22,9,15.3
8/1/22,10,16.7
8/1/22,11,18.7
8/1/22,12,20.5
8/1/22,13,21.5
8/1/22,14,23.7
8/1/22,15,25.1
8/1/22,16,24.7
8/1/22,17,26.1
8/1/22,18,26
8/1/22,19,26.2
